Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,148.25,148.25,143.875,145.4375,96.55506896972656,8164300
2000-01-04,143.53125,144.0625,139.640625,139.75,92.77920532226562,8089800
2000-01-05,139.9375,141.53125,137.25,140.0,92.94517517089844,12177900
2000-01-06,139.625,141.5,137.75,137.75,91.45140838623047,6227200
2000-01-07,140.3125,145.75,140.0625,145.75,96.76256561279297,8066500
2000-01-10,146.25,146.90625,145.03125,146.25,97.0945053100586,5741700
2000-01-11,145.8125,146.09375,143.5,144.5,95.93267059326172,7503700
2000-01-12,144.59375,144.59375,142.875,143.0625,94.97832489013672,6907700
2000-01-13,144.46875,145.75,143.28125,145.0,96.26461029052734,5158300
2000-01-14,146.53125,147.46875,145.96875,146.96875,97.57166290283203,7437300
2000-01-18,145.34375,146.625,145.1875,145.8125,96.80401611328125,6488500
2000-01-19,145.3125,147.0,145.0,147.0,97.59242248535156,6157900
2000-01-20,146.96875,146.96875,143.8125,144.75,96.09861755371094,5800100
2000-01-21,145.5,145.5,144.0625,144.4375,95.8911361694336,6244800
2000-01-24,145.65625,145.84375,139.40625,140.34375,93.17335510253906,7896900
2000-01-25,140.515625,141.9375,139.0,141.9375,94.2314224243164,9942500
2000-01-26,141.0,141.546875,140.09375,140.8125,93.48454284667969,5158100
2000-01-27,141.84375,142.21875,138.125,140.25,93.11112976074219,10922700
2000-01-28,139.4375,140.0625,135.53125,135.875,90.20661926269531,11916200
2000-01-31,135.8125,139.671875,135.0,139.5625,92.65467071533203,10768700
2000-02-01,139.75,141.6875,138.53125,140.9375,93.56757354736328,8419900
2000-02-02,141.28125,142.25,140.375,141.0625,93.65050506591797,6205900
2000-02-03,140.875,143.25,140.0,143.1875,95.06131744384766,7997500
2000-02-04,143.1875,144.0,142.125,142.59375,94.66712951660156,4925400
2000-02-07,142.5625,142.78125,141.4375,142.375,94.52192687988281,5845800
2000-02-08,143.96875,144.5625,143.625,144.3125,95.80817413330078,4936400
2000-02-09,144.46875,144.46875,141.265625,141.28125,93.7957763671875,8511500
2000-02-10,141.625,142.5625,140.875,141.5625,93.98245239257812,6690600
2000-02-11,141.84375,141.9375,138.03125,138.6875,92.07384490966797,9849800
2000-02-14,139.78125,139.78125,138.3125,139.5,92.61319732666016,8528800
2000-02-15,139.25,141.21875,137.796875,141.078125,93.66092681884766,11078300
2000-02-16,140.375,140.9375,138.796875,139.0,92.28125762939453,8845400
2000-02-17,140.4375,140.4375,138.21875,138.28125,91.80409240722656,7584200
2000-02-18,138.875,138.875,134.625,135.3125,89.83311462402344,9409200
2000-02-22,135.1875,136.34375,133.53125,134.96875,89.60491943359375,16415400
2000-02-23,135.625,137.46875,134.5,136.5625,90.66301727294922,12119000
2000-02-24,136.6875,137.03125,133.09375,133.8125,88.83731079101562,17375000
2000-02-25,135.1875,136.71875,133.125,133.328125,88.5157470703125,10559900
2000-02-28,133.375,136.6875,132.71875,136.125,90.37254333496094,13397800
2000-02-29,136.0625,137.4375,135.75,137.4375,91.24393463134766,8242500
2000-03-01,137.625,139.0,137.21875,138.4375,91.90778350830078,6868000
2000-03-02,138.6875,139.125,137.34375,138.53125,91.97007751464844,7600200
2000-03-03,140.4375,141.71875,139.71875,141.125,93.69203186035156,12770300
2000-03-06,140.8125,141.34375,138.75,139.75,92.77920532226562,11967100
2000-03-07,140.0,140.15625,135.21875,137.046875,90.98458862304688,20062000
2000-03-08,136.46875,137.84375,135.03125,136.875,90.87051391601562,11808500
2000-03-09,137.25,140.875,136.125,140.875,93.52606201171875,5500900
2000-03-10,140.1875,142.0,139.53125,140.125,93.02814483642578,7924600
2000-03-13,136.6875,140.46875,135.6875,138.59375,92.0115737915039,10540500
2000-03-14,139.28125,140.09375,136.15625,136.625,90.70454406738281,8263900
2000-03-15,136.875,140.4375,136.0625,139.8125,92.82069396972656,10300800
2000-03-16,141.625,146.84375,140.875,146.34375,97.1567611694336,25601400
2000-03-17,145.8125,148.0,145.4375,146.9375,97.79883575439453,10272900
2000-03-20,146.875,147.34375,144.78125,146.1875,97.29965209960938,12502300
2000-03-21,145.53125,149.75,144.5,149.1875,99.29638671875,13612600
2000-03-22,149.5625,150.84375,148.6875,150.09375,99.89960479736328,8260000
2000-03-23,149.15625,153.46875,149.15625,152.65625,101.60514068603516,11654500
2000-03-24,152.875,155.75,151.71875,153.5625,102.20830535888672,11462900
2000-03-27,153.375,153.78125,151.8125,151.9375,101.12673950195312,8798600
2000-03-28,151.25,152.984375,150.59375,151.0625,100.54434967041016,6334400
2000-03-29,151.5625,152.484375,149.65625,151.21875,100.64833068847656,6747500
2000-03-30,150.15625,151.921875,147.125,148.6875,98.96360778808594,9491900
2000-03-31,149.625,152.3125,148.4375,150.375,100.08680725097656,9249100
2000-04-03,150.125,151.25,148.6875,151.25,100.6691665649414,8508200
2000-04-04,151.75,153.0,141.390625,150.125,99.92041778564453,19585500
2000-04-05,147.875,150.8125,147.625,149.1875,99.29638671875,8387200
2000-04-06,150.25,151.6875,149.0,150.484375,100.15959930419922,6378500
2000-04-07,151.5625,152.125,150.5,151.4375,100.79395294189453,6023600
2000-04-10,151.75,153.109375,150.3125,150.84375,100.3987808227539,9624200
2000-04-11,150.0,151.625,148.375,150.40625,100.10758972167969,9006400
2000-04-12,150.375,151.15625,146.15625,146.28125,97.36206817626953,10779200
2000-04-13,147.46875,148.15625,143.78125,144.25,96.01013946533203,12225800
2000-04-14,142.625,142.8125,133.5,136.0,90.51909637451172,29604000
2000-04-17,135.1875,140.75,134.6875,140.75,93.6805419921875,23918200
2000-04-18,140.5625,144.46875,139.78125,144.46875,96.15567779541016,11069200
2000-04-19,144.5,145.125,142.53125,143.125,95.2613296508789,6553700
2000-04-20,143.5625,143.9375,142.375,143.8125,95.71891784667969,8537600
2000-04-24,141.5,143.3125,140.5,142.25,94.67892456054688,12893100
2000-04-25,144.625,148.15625,144.4375,148.15625,98.61005401611328,14102000
2000-04-26,147.96875,148.75,146.0,146.484375,97.49725341796875,7711100
2000-04-27,143.0,147.34375,143.0,146.0,97.17485046386719,15595300
2000-04-28,147.0,147.859375,145.0625,145.09375,96.5716781616211,8743400
2000-05-01,146.5625,148.484375,145.84375,147.0625,97.88202667236328,7328300
2000-05-02,145.5,147.125,144.125,144.125,95.92691802978516,9411900
2000-05-03,144.0,144.0,139.78125,140.75,93.6805419921875,12630700
2000-05-04,142.0,142.359375,140.75,141.8125,94.38773345947266,5963600
2000-05-05,141.0625,144.0,140.9375,143.53125,95.53170013427734,7862400
2000-05-08,142.75,143.375,141.84375,142.453125,94.81409454345703,5064100
2000-05-09,143.0625,143.40625,140.265625,141.3125,94.0549545288086,5620300
2000-05-10,140.5,140.96875,137.75,138.125,91.93341827392578,10293900
2000-05-11,140.125,141.5,139.125,141.28125,94.03418731689453,7091100
